date,origin_park,day_of_the_week,day_name,destination,respondent_type,age_group,vehicle_type,package_size,package_weight,tracking_status,weather_delay_experience,top_challenge,pricing_determination_metric,overall_system_impression,qualitative_suggested_improvements,is_festive_period,fuel_price_per_litre,price
2026/06/03,Ilesha garage Akure,3,Wednesday,Lagos,Sender,18–25,small_car,large,heavy,Sometimes,Sometimes rainfall,Fuel scarcity,"Distance, Weight, Fuel cost combo",Agree,Reduce pricing disputes through transparency,FALSE,1280,"8,500"
2026/06/03,Ilesha garage Akure,3,Wednesday,Ilesha,Sender,36–40,small_car,small,light,Always,Flooding,Inaccurate addresses,Weight of goods,Neutral,Allow cashless payment options,FALSE,1280,"3,500"
2026/06/03,Ilesha garage Akure,3,Wednesday,Lagos,Driver,36–40,small_car,medium,medium,Sometimes,Heavy rain,Criminal activities,"Distance, Weight, Fuel cost combo",Agree,Better customer support when goods are delayed,FALSE,1280,"7,000"
2026/06/03,Northgate Akure,3,Wednesday,Ife,Driver,36–40,big_bus,large,heavy,Always,Heavy rain,Fuel scarcity,Distance only,Agree,Improve fuel subsidy to reduce transport cost,FALSE,1280,"6,500"
2026/06/03,Northgate Akure,3,Wednesday,Ibadan,Driver,36–40,small_car,large,heavy,Always,Flooding,Criminal activities,"Distance, Weight, Fuel cost combo",Neutral,Ensure drivers are vetted properly,FALSE,1280,"5,500"
2026/06/03,Northgate Akure,3,Wednesday,Ibadan,Sender,26–35,big_bus,medium,medium,Rarely,Dust storm,Inaccurate addresses,"Distance, Weight, Dynamic combo",Agree,Fix poor road infrastructure on routes,FALSE,1280,"8,500"
2026/06/03,Northgate Akure,3,Wednesday,Ife,Sender,41–50,small_car,envelope,very_light,Always,Sometimes rainfall,Traffic congestion,"Distance, Weight, Dynamic combo",Strongly Agree,Provide better packaging options,FALSE,1280,"2,000"
2026/06/03,Ondo garage Akure,3,Wednesday,Lagos,Sender,41–50,small_car,large,heavy,Sometimes,None,Fuel scarcity,Type of goods,Neutral,Ensure drivers are vetted properly,FALSE,1280,"9,000"
2026/06/03,Ondo garage Akure,3,Wednesday,Ondo,Sender,26–35,small_car,large,heavy,Rarely,Heavy rain,Poor network connectivity,Type of goods,Agree,Ensure drivers are vetted properly,FALSE,1280,"2,500"
2026/06/03,Ondo garage Akure,3,Wednesday,Benin,Sender,26–35,big_bus,small,light,Rarely,Sometimes rainfall,Fuel scarcity,"Distance, Weight, Dynamic combo",Agree,Reduce delays during festive periods,FALSE,1280,"4,500"
2026/06/03,Ondo garage Akure,3,Wednesday,Benin,Sender,18–25,small_car,medium,medium,Sometimes,Sometimes rainfall,Fuel scarcity,unknown,Strongly Agree,Allow cashless payment options,FALSE,1280,"5,000"
2026/06/03,Ondo garage Akure,3,Wednesday,Ondo,Driver,26–35,small_car,large,heavy,Always,Harmattan,Fuel scarcity,Weight of goods,Agree,Track parcels end-to-end,FALSE,1280,"3,000"
2026/06/03,Ondo garage Akure,3,Wednesday,Benin,Sender,18–25,small_car,medium,medium,Always,None,Traffic congestion,Dynamic pricing,Strongly Agree,Better customer support when goods are delayed,FALSE,1280,"3,000"
2026/06/03,Ondo garage Akure,3,Wednesday,Ondo,Driver,26–35,big_bus,small,light,Never,None,Criminal activities,unknown,Neutral,Reduce pricing disputes through transparency,FALSE,1280,"3,000"
2026/06/03,Roadblock Akure,3,Wednesday,Osogbo,Sender,36–40,small_car,medium,medium,Always,Heavy rain,Pricing disputes,"Distance, Weight, Dynamic combo",unknown,Introduce automated pricing with AI,FALSE,1280,"2,000"
2026/06/03,Roadblock Akure,3,Wednesday,Owo,Sender,18–25,small_car,small,light,Always,Sometimes rainfall,Criminal activities,"Distance, Weight, Fuel cost combo",Agree,Fix poor road infrastructure on routes,FALSE,1280,"2,000"
2026/06/03,Roadblock Akure,3,Wednesday,Benin,Driver,36–40,big_bus,small,light,Sometimes,Sometimes rainfall,Fuel scarcity,Weight of goods,Disagree,Fix poor road infrastructure on routes,FALSE,1280,"5,000"
2026/06/03,Roadblock Akure,3,Wednesday,Osogbo,Sender,41–50,small_car,small,light,Sometimes,Harmattan,Inaccurate addresses,Type of goods,Disagree,Add SMS notifications for delivery status,FALSE,1280,"1,500"
2026/06/03,Southgate Akure,3,Wednesday,Ibadan,Driver,41–50,big_bus,envelope,very_light,Always,Harmattan,Fuel scarcity,Weight of goods,Agree,Track parcels end-to-end,FALSE,1280,"5,000"
2026/06/03,Southgate Akure,3,Wednesday,Ilesha,Driver,unknown,big_bus,medium,medium,Always,Dust storm,Pricing disputes,unknown,unknown,Introduce insurance for goods in transit,FALSE,1280,"5,000"
2026/06/03,Southgate Akure,3,Wednesday,Ibadan,Driver,41–50,small_car,medium,medium,Always,Dust storm,Pricing disputes,Weight of goods,Disagree,Ensure drivers are vetted properly,FALSE,1280,"7,000"
2026/06/03,Southgate Akure,3,Wednesday,Ilesha,Sender,26–35,big_bus,small,light,Sometimes,Flooding,Pricing disputes,Weight of goods,Disagree,Improve communication between drivers and senders,FALSE,1280,"4,000"
2026/06/04,Ilesha garage Akure,4,Thursday,Lagos,Driver,Above 50,big_bus,extra_large,very_heavy,Sometimes,Sometimes rainfall,Police checkpoints,unknown,Agree,Reduce delays during festive periods,FALSE,1280,"10,000"
2026/06/04,Ilesha garage Akure,4,Thursday,Lagos,Sender,26–35,big_bus,medium,medium,Rarely,Dust storm,Criminal activities,"Distance, Weight, Dynamic combo",Agree,Add SMS notifications for delivery status,FALSE,1280,"10,000"
2026/06/04,Ilesha garage Akure,4,Thursday,Ife,Sender,26–35,small_car,medium,medium,Rarely,Flooding,Poor network connectivity,Distance only,Agree,Provide better packaging options,FALSE,1280,"2,600"
2026/06/04,Ilesha garage Akure,4,Thursday,Ibadan,Sender,41–50,small_car,small,light,Sometimes,Sometimes rainfall,Criminal activities,Weight of goods,Agree,Ensure drivers are vetted properly,FALSE,1280,"5,200"
2026/06/04,Ilesha garage Akure,4,Thursday,Ibadan,Sender,41–50,small_car,extra_large,very_heavy,Rarely,Sometimes rainfall,Pricing disputes,Dynamic pricing,Neutral,Allow cashless payment options,FALSE,1280,"7,000"
2026/06/04,Ilesha garage Akure,4,Thursday,Lagos,Driver,26–35,big_bus,extra_large,very_heavy,Always,None,Criminal activities,"Distance, Weight, Fuel cost combo",Neutral,Introduce automated pricing with AI,FALSE,1280,"10,000"
2026/06/04,Ilesha garage Akure,4,Thursday,Ife,Driver,41–50,big_bus,large,heavy,Sometimes,Dust storm,Vehicle breakdown,Distance only,Agree,Improve communication between drivers and senders,FALSE,1280,"6,500"
2026/06/04,Ilesha garage Akure,4,Thursday,Ibadan,Sender,41–50,big_bus,small,light,Always,None,Fuel scarcity,"Distance, Weight, Fuel cost combo",Agree,Better customer support when goods are delayed,FALSE,1280,"6,700"
2026/06/04,Northgate Akure,4,Thursday,Lagos,Driver,41–50,big_bus,medium,medium,Sometimes,None,Inaccurate addresses,"Distance, Weight, Fuel cost combo",Neutral,Provide better packaging options,FALSE,1280,"10,000"
2026/06/04,Ondo garage Akure,4,Thursday,Ondo,Sender,41–50,big_bus,large,heavy,Sometimes,Dust storm,Vehicle breakdown,"Distance, Weight, Dynamic combo",Agree,Ensure drivers are vetted properly,FALSE,1280,"5,200"
2026/06/04,Ondo garage Akure,4,Thursday,Lagos,Driver,41–50,small_car,medium,medium,Always,Sometimes rainfall,Poor road infrastructure,Type of goods,Neutral,Reduce delays during festive periods,FALSE,1280,"7,200"
2026/06/04,Ondo garage Akure,4,Thursday,Lagos,Driver,Above 50,small_car,small,light,Always,Heavy rain,Poor road infrastructure,"Distance, Weight, Fuel cost combo",Strongly Disagree,Track parcels end-to-end,FALSE,1280,"5,500"
2026/06/04,Ondo garage Akure,4,Thursday,Lagos,Sender,41–50,big_bus,medium,medium,Always,None,Police checkpoints,Weight of goods,Agree,unknown,FALSE,1280,"10,000"
2026/06/04,Ondo garage Akure,4,Thursday,Lagos,Driver,36–40,small_car,small,light,Rarely,Heavy rain,Inaccurate addresses,Dynamic pricing,Agree,Improve communication between drivers and senders,FALSE,1280,"8,000"
2026/06/04,Roadblock Akure,4,Thursday,Benin,Driver,41–50,small_car,small,light,Never,Harmattan,Poor road infrastructure,"Distance, Weight, Fuel cost combo",Agree,Add SMS notifications for delivery status,FALSE,1280,"4,000"
2026/06/04,Roadblock Akure,4,Thursday,Osogbo,Driver,18–25,big_bus,large,heavy,Rarely,None,Fuel scarcity,Type of goods,Agree,Ensure drivers are vetted properly,FALSE,1280,"5,000"
2026/06/04,Roadblock Akure,4,Thursday,Benin,Sender,41–50,small_car,extra_large,very_heavy,Always,Flooding,Traffic congestion,Weight of goods,Agree,Provide better packaging options,FALSE,1280,"5,000"
2026/06/04,Roadblock Akure,4,Thursday,Warri,Sender,36–40,small_car,large,heavy,Always,Dust storm,Vehicle breakdown,unknown,Agree,Allow cashless payment options,FALSE,1280,"5,000"
2026/06/04,Roadblock Akure,4,Thursday,Benin,Sender,26–35,big_bus,large,heavy,Sometimes,Sometimes rainfall,Traffic congestion,Distance only,Neutral,Track parcels end-to-end,FALSE,1280,"7,000"
2026/06/04,Southgate Akure,4,Thursday,Lagos,Sender,Above 50,small_car,large,heavy,Rarely,Harmattan,Traffic congestion,Dynamic pricing,Agree,Track parcels end-to-end,FALSE,1280,"8,700"
2026/06/04,Southgate Akure,4,Thursday,Ife,Sender,18–25,small_car,extra_large,very_heavy,Always,Sometimes rainfall,Inaccurate addresses,Dynamic pricing,Disagree,unknown,FALSE,1280,"4,000"
2026/06/04,Southgate Akure,4,Thursday,Ibadan,Driver,26–35,small_car,medium,medium,Sometimes,Sometimes rainfall,Traffic congestion,unknown,Neutral,Ensure drivers are vetted properly,FALSE,1280,"7,000"
2026/06/05,Ilesha garage Akure,5,Friday,Ife,Sender,41–50,small_car,large,heavy,Sometimes,Dust storm,Fuel scarcity,Distance only,Agree,Fix poor road infrastructure on routes,FALSE,1280,"5,500"
2026/06/05,Ilesha garage Akure,5,Friday,Ilesha,Sender,36–40,small_car,medium,medium,Always,None,Poor network connectivity,Distance only,Agree,Improve fuel subsidy to reduce transport cost,FALSE,1280,"3,000"
2026/06/05,Ilesha garage Akure,5,Friday,Lagos,Sender,unknown,small_car,large,heavy,Sometimes,None,Inaccurate addresses,Type of goods,Neutral,Reduce pricing disputes through transparency,FALSE,1280,"10,000"
2026/06/05,Ilesha garage Akure,5,Friday,Ibadan,Driver,36–40,small_car,small,light,Always,Sometimes rainfall,Pricing disputes,Distance only,Agree,Allow cashless payment options,FALSE,1280,"4,000"
2026/06/05,Ilesha garage Akure,5,Friday,Ilesha,Sender,36–40,small_car,small,light,Rarely,None,Criminal activities,Weight of goods,Strongly Agree,Introduce automated pricing with AI,FALSE,1280,"2,500"
2026/06/05,Northgate Akure,5,Friday,Ado-Ekiti,Driver,unknown,small_car,small,light,Never,Flooding,Poor road infrastructure,"Distance, Weight, Fuel cost combo",Disagree,Introduce automated pricing with AI,FALSE,1280,"2,500"
2026/06/05,Northgate Akure,5,Friday,Ife,Driver,26–35,big_bus,extra_large,very_heavy,Always,Dust storm,Inaccurate addresses,"Distance, Weight, Dynamic combo",Agree,Improve communication between drivers and senders,FALSE,1280,"7,500"
2026/06/05,Northgate Akure,5,Friday,Ibadan,Sender,36–40,small_car,small,light,Rarely,Heavy rain,Inaccurate addresses,unknown,Strongly Agree,Introduce insurance for goods in transit,FALSE,1280,"4,500"
2026/06/05,Ondo garage Akure,5,Friday,Warri,Driver,41–50,big_bus,medium,medium,Never,Sometimes rainfall,Police checkpoints,Weight of goods,Agree,Provide better packaging options,FALSE,1280,"7,500"
2026/06/05,Ondo garage Akure,5,Friday,Ondo,Driver,41–50,big_bus,large,heavy,Sometimes,Sometimes rainfall,Traffic congestion,Weight of goods,Strongly Agree,Provide better packaging options,FALSE,1280,"5,000"
2026/06/05,Ondo garage Akure,5,Friday,Warri,Sender,41–50,small_car,extra_large,very_heavy,Always,Dust storm,Criminal activities,Weight of goods,Agree,Improve communication between drivers and senders,FALSE,1280,"6,000"
2026/06/05,Ondo garage Akure,5,Friday,Lagos,Driver,41–50,big_bus,large,heavy,Always,Heavy rain,Police checkpoints,unknown,Strongly Disagree,Better customer support when goods are delayed,FALSE,1280,"10,000"
2026/06/05,Ondo garage Akure,5,Friday,Ondo,Driver,unknown,small_car,medium,medium,Always,Heavy rain,Vehicle breakdown,Weight of goods,Strongly Agree,Real-time tracking will help a lot,FALSE,1280,"2,000"
2026/06/05,Roadblock Akure,5,Friday,Warri,Driver,Above 50,small_car,extra_large,very_heavy,Always,Sometimes rainfall,Criminal activities,Distance only,unknown,Improve fuel subsidy to reduce transport cost,FALSE,1280,"6,500"
2026/06/05,Roadblock Akure,5,Friday,Warri,Sender,26–35,big_bus,envelope,very_light,Sometimes,Heavy rain,Criminal activities,"Distance, Weight, Fuel cost combo",Agree,Add SMS notifications for delivery status,FALSE,1280,"5,000"
2026/06/05,Roadblock Akure,5,Friday,Owo,Driver,Above 50,small_car,extra_large,very_heavy,Rarely,Dust storm,Poor road infrastructure,"Distance, Weight, Fuel cost combo",Strongly Agree,Add SMS notifications for delivery status,FALSE,1280,"3,500"
2026/06/05,Roadblock Akure,5,Friday,Osogbo,Driver,26–35,big_bus,medium,medium,Always,Harmattan,Police checkpoints,"Distance, Weight, Fuel cost combo",Agree,Introduce insurance for goods in transit,FALSE,1280,"5,000"
2026/06/05,Southgate Akure,5,Friday,Ibadan,Driver,26–35,small_car,envelope,very_light,Sometimes,Heavy rain,Traffic congestion,"Distance, Weight, Fuel cost combo",Neutral,Improve fuel subsidy to reduce transport cost,FALSE,1280,"3,500"
2026/06/05,Southgate Akure,5,Friday,Ilesha,Sender,36–40,big_bus,medium,medium,Never,Heavy rain,Police checkpoints,"Distance, Weight, Dynamic combo",Strongly Agree,Track parcels end-to-end,FALSE,1280,"5,500"
2026/06/05,Southgate Akure,5,Friday,Ibadan,Sender,26–35,small_car,medium,medium,Always,Sometimes rainfall,Poor road infrastructure,Weight of goods,Strongly Agree,Provide better packaging options,FALSE,1280,"7,500"
2026/06/05,Southgate Akure,5,Friday,Ibadan,Sender,26–35,big_bus,medium,medium,Always,Harmattan,Traffic congestion,Weight of goods,Neutral,Add SMS notifications for delivery status,FALSE,1280,"8,500"
2026/06/05,Southgate Akure,5,Friday,Ilesha,Sender,18–25,big_bus,medium,medium,Sometimes,Harmattan,Police checkpoints,"Distance, Weight, Dynamic combo",Neutral,Reduce pricing disputes through transparency,FALSE,1280,"5,000"
2026/06/05,Southgate Akure,5,Friday,Lagos,Sender,26–35,big_bus,medium,medium,Always,Dust storm,Police checkpoints,unknown,Neutral,Improve communication between drivers and senders,FALSE,1280,"10,000"
2026/06/06,Ilesha garage Akure,6,Saturday,Ibadan,Driver,36–40,small_car,small,light,Always,Harmattan,Poor network connectivity,Dynamic pricing,Agree,Track parcels end-to-end,FALSE,1280,"4,000"
2026/06/06,Ilesha garage Akure,6,Saturday,Ife,Sender,unknown,small_car,small,light,Sometimes,Sometimes rainfall,Police checkpoints,Weight of goods,Neutral,Real-time tracking will help a lot,FALSE,1280,"4,000"
2026/06/06,Ilesha garage Akure,6,Saturday,Lagos,Sender,36–40,big_bus,small,light,Sometimes,None,Poor network connectivity,Dynamic pricing,Neutral,Improve communication between drivers and senders,FALSE,1280,"10,000"
2026/06/06,Ilesha garage Akure,6,Saturday,Ife,Sender,41–50,small_car,medium,medium,Sometimes,Flooding,Pricing disputes,Weight of goods,Agree,Fix poor road infrastructure on routes,FALSE,1280,"3,000"
2026/06/06,Ilesha garage Akure,6,Saturday,Ife,Sender,26–35,small_car,medium,medium,Sometimes,None,Pricing disputes,"Distance, Weight, Fuel cost combo",Agree,Reduce delays during festive periods,FALSE,1280,"4,500"
2026/06/06,Ilesha garage Akure,6,Saturday,Ife,Sender,41–50,small_car,medium,medium,Sometimes,None,Traffic congestion,Weight of goods,Agree,Improve fuel subsidy to reduce transport cost,FALSE,1280,"4,500"
2026/06/06,Northgate Akure,6,Saturday,Ibadan,Sender,26–35,big_bus,medium,medium,Always,Dust storm,Pricing disputes,Dynamic pricing,Neutral,Provide better packaging options,FALSE,1280,"9,000"
2026/06/06,Northgate Akure,6,Saturday,Lagos,Driver,41–50,big_bus,small,light,Always,Harmattan,Inaccurate addresses,"Distance, Weight, Fuel cost combo",Strongly Disagree,Improve communication between drivers and senders,FALSE,1280,"10,000"
2026/06/06,Northgate Akure,6,Saturday,Abuja,Sender,unknown,small_car,medium,medium,Always,Harmattan,Poor road infrastructure,"Distance, Weight, Dynamic combo",Neutral,Introduce automated pricing with AI,FALSE,1280,"10,000"
2026/06/06,Ondo garage Akure,6,Saturday,Ondo,Sender,26–35,small_car,small,light,Rarely,Heavy rain,Police checkpoints,"Distance, Weight, Dynamic combo",Agree,Introduce automated pricing with AI,FALSE,1280,"2,500"
2026/06/06,Ondo garage Akure,6,Saturday,Lagos,Driver,26–35,small_car,medium,medium,Always,Flooding,Vehicle breakdown,Distance only,Agree,Ensure drivers are vetted properly,FALSE,1280,"7,500"
2026/06/06,Ondo garage Akure,6,Saturday,Ondo,Driver,41–50,small_car,large,heavy,Sometimes,Heavy rain,Inaccurate addresses,Dynamic pricing,Neutral,Reduce delays during festive periods,FALSE,1280,"4,000"
2026/06/06,Ondo garage Akure,6,Saturday,Benin,Driver,41–50,small_car,extra_large,very_heavy,Always,Heavy rain,Poor network connectivity,Type of goods,Neutral,Real-time tracking will help a lot,FALSE,1280,"9,000"
2026/06/06,Roadblock Akure,6,Saturday,Osogbo,Sender,36–40,big_bus,large,heavy,Sometimes,Sometimes rainfall,Fuel scarcity,Distance only,unknown,Allow cashless payment options,FALSE,1280,"6,000"
2026/06/06,Roadblock Akure,6,Saturday,Owo,Sender,36–40,small_car,extra_large,very_heavy,Sometimes,None,Vehicle breakdown,"Distance, Weight, Fuel cost combo",Disagree,unknown,FALSE,1280,"5,500"
2026/06/06,Roadblock Akure,6,Saturday,Owo,Sender,unknown,small_car,small,light,Rarely,Dust storm,Poor road infrastructure,"Distance, Weight, Fuel cost combo",Strongly Agree,Provide better packaging options,FALSE,1280,"2,000"
2026/06/06,Roadblock Akure,6,Saturday,Benin,Sender,36–40,small_car,medium,medium,Always,None,Police checkpoints,Weight of goods,unknown,Introduce insurance for goods in transit,FALSE,1280,"4,000"
2026/06/06,Roadblock Akure,6,Saturday,Warri,Sender,41–50,small_car,medium,medium,Sometimes,Harmattan,Inaccurate addresses,Distance only,Neutral,Allow cashless payment options,FALSE,1280,"4,700"
2026/06/06,Southgate Akure,6,Saturday,Ilesha,Driver,41–50,small_car,small,light,Sometimes,Sometimes rainfall,Vehicle breakdown,Weight of goods,Agree,Allow cashless payment options,FALSE,1280,"3,500"
2026/06/06,Southgate Akure,6,Saturday,Ife,Driver,36–40,small_car,small,light,Sometimes,Harmattan,Police checkpoints,unknown,Disagree,Allow cashless payment options,FALSE,1280,"3,000"
2026/06/06,Southgate Akure,6,Saturday,Ife,Driver,36–40,small_car,medium,medium,Sometimes,None,Police checkpoints,Distance only,Strongly Disagree,Real-time tracking will help a lot,FALSE,1280,"3,000"
2026/06/06,Southgate Akure,6,Saturday,Lagos,Sender,41–50,small_car,large,heavy,Sometimes,Flooding,Police checkpoints,Weight of goods,Agree,Ensure drivers are vetted properly,FALSE,1280,"10,000"
2026/06/17,Ilesha garage Akure,3,Wednesday,Ibadan,Sender,26–35,big_bus,small,light,Never,Dust storm,Vehicle breakdown,"Distance, Weight, Dynamic combo",Neutral,Reduce delays during festive periods,FALSE,1200,"6,700"
2026/06/17,Ilesha garage Akure,3,Wednesday,Ilesha,Sender,36–40,small_car,medium,medium,Sometimes,Dust storm,Fuel scarcity,"Distance, Weight, Fuel cost combo",Strongly Agree,Introduce insurance for goods in transit,FALSE,1200,"3,000"
2026/06/17,Northgate Akure,3,Wednesday,Ibadan,Sender,26–35,small_car,medium,medium,Always,Heavy rain,Fuel scarcity,unknown,Agree,Add SMS notifications for delivery status,FALSE,1200,"5,500"
2026/06/17,Northgate Akure,3,Wednesday,Ife,Sender,41–50,small_car,medium,medium,Always,Heavy rain,Inaccurate addresses,"Distance, Weight, Dynamic combo",Strongly Agree,Fix poor road infrastructure on routes,FALSE,1200,"2,700"
2026/06/17,Northgate Akure,3,Wednesday,Lagos,Sender,unknown,small_car,small,light,Always,None,Poor network connectivity,Dynamic pricing,Agree,unknown,FALSE,1200,"7,000"
2026/06/17,Northgate Akure,3,Wednesday,Lagos,Sender,unknown,small_car,small,light,Sometimes,Sometimes rainfall,Poor network connectivity,Weight of goods,Agree,Reduce pricing disputes through transparency,FALSE,1200,"7,500"
2026/06/17,Northgate Akure,3,Wednesday,Ado-Ekiti,Driver,41–50,small_car,large,heavy,Rarely,None,Pricing disputes,"Distance, Weight, Fuel cost combo",Strongly Agree,Provide better packaging options,FALSE,1200,"4,300"
2026/06/17,Northgate Akure,3,Wednesday,Ado-Ekiti,Sender,18–25,small_car,medium,medium,Always,Sometimes rainfall,Poor road infrastructure,"Distance, Weight, Fuel cost combo",Disagree,Improve fuel subsidy to reduce transport cost,FALSE,1200,"2,500"
2026/06/17,Ondo garage Akure,3,Wednesday,Lagos,Driver,26–35,small_car,small,light,Sometimes,Sometimes rainfall,Poor network connectivity,"Distance, Weight, Fuel cost combo",Disagree,Provide better packaging options,FALSE,1200,"7,000"
2026/06/17,Ondo garage Akure,3,Wednesday,Benin,Driver,36–40,small_car,small,light,Always,None,Traffic congestion,Dynamic pricing,Strongly Agree,Improve fuel subsidy to reduce transport cost,FALSE,1200,"2,500"
